promptKey,temperature,timesteps,rewards,leftActions,rightActions,randomActions,DateTime
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:48:07.596823
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:48:10.235262
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:48:12.877585
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:48:15.538839
zero_shot_prompt,0.1,8,8.0,8,0,0,2024-04-17 12:48:17.919845
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:48:20.922801
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:48:23.628021
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:48:26.644400
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:48:29.373750
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:48:32.116216
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:48:35.169722
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:48:37.891348
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:48:40.912207
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:48:43.608100
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:48:46.591118
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:48:49.275560
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:48:52.248620
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:48:54.909163
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:48:57.856644
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:49:00.505686
zero_shot_prompt,0.1,8,8.0,8,0,0,2024-04-17 12:49:02.856500
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:49:05.495322
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:49:08.132778
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:49:10.771427
zero_shot_prompt,0.1,8,8.0,8,0,0,2024-04-17 12:49:13.114474
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:49:16.035796
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:49:18.968206
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:49:21.905621
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:49:24.839591
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:49:27.780526
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:49:30.730629
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:49:33.392570
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:49:36.050311
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:49:38.710909
zero_shot_prompt,0.1,8,8.0,8,0,0,2024-04-17 12:49:41.086545
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:49:44.056280
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:49:47.030501
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:49:49.712812
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:49:52.695141
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:49:55.371329
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:49:58.049827
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:50:00.724966
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:50:03.402484
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:50:06.077938
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:50:09.042996
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:50:12.009807
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:50:14.677719
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:50:17.636590
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:50:20.304602
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:50:23.261214
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:50:26.215457
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:50:29.166405
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:50:31.832525
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:50:34.785892
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:50:37.737071
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:50:40.394195
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:50:43.357180
zero_shot_prompt,0.1,8,8.0,7,0,1,2024-04-17 12:50:46.127984
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:50:48.795491
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:50:51.455376
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:50:54.415778
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:50:57.078493
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:50:59.745571
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:51:02.416292
zero_shot_prompt,0.1,8,8.0,8,0,0,2024-04-17 12:51:04.789457
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:51:07.457236
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:51:10.415456
zero_shot_prompt,0.1,11,11.0,11,0,0,2024-04-17 12:51:13.682607
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:51:16.349578
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:51:19.322673
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:51:21.987073
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:51:24.655290
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:51:27.316438
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:51:30.287238
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:51:33.249653
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:51:36.218954
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:51:38.888786
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:51:41.562959
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:51:44.532680
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:51:47.196979
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:51:49.863297
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:51:52.524696
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:51:55.487925
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:51:58.449827
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:52:01.111015
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:52:04.076618
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:52:07.043172
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:52:10.004770
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:52:12.666890
zero_shot_prompt,0.1,9,9.0,9,0,0,2024-04-17 12:52:15.325457
zero_shot_prompt,0.1,10,10.0,10,0,0,2024-04-17 12:52:18.280974
