promptKey,temperature,timesteps,rewards,hitActions,stickActions,randomActions,DateTime
zero_shot_prompt,0.1,1,-1.0,0,1,0,2024-04-17 09:55:51.449298
zero_shot_prompt,0.1,1,1.0,0,1,0,2024-04-17 09:55:53.963973
zero_shot_prompt,0.1,1,0.0,0,1,0,2024-04-17 09:55:56.742315
zero_shot_prompt,0.1,3,-1.0,3,0,0,2024-04-17 09:56:09.323730
zero_shot_prompt,0.1,1,-1.0,0,1,0,2024-04-17 09:56:13.035040
zero_shot_prompt,0.1,1,-1.0,1,0,0,2024-04-17 09:56:15.359641
zero_shot_prompt,0.1,1,1.0,0,1,0,2024-04-17 09:56:20.152124
zero_shot_prompt,0.1,1,-1.0,0,1,0,2024-04-17 09:56:25.031181
zero_shot_prompt,0.1,1,-1.0,1,0,0,2024-04-17 09:56:29.783432
zero_shot_prompt,0.1,1,-1.0,1,0,0,2024-04-17 09:56:32.265838
zero_shot_prompt,0.1,1,-1.0,1,0,0,2024-04-17 09:56:34.628632
zero_shot_prompt,0.1,1,-1.0,1,0,0,2024-04-17 09:56:37.471759
zero_shot_prompt,0.1,3,-1.0,3,0,0,2024-04-17 09:56:48.847160
zero_shot_prompt,0.1,1,-1.0,1,0,0,2024-04-17 09:56:51.682483
zero_shot_prompt,0.1,1,-1.0,1,0,0,2024-04-17 09:56:56.609871
zero_shot_prompt,0.1,2,-1.0,1,1,0,2024-04-17 09:57:03.876232
zero_shot_prompt,0.1,2,-1.0,1,1,0,2024-04-17 09:57:10.888133
zero_shot_prompt,0.1,2,-1.0,2,0,0,2024-04-17 09:57:21.617185
zero_shot_prompt,0.1,1,-1.0,0,1,0,2024-04-17 09:57:26.663841
zero_shot_prompt,0.1,1,-1.0,1,0,0,2024-04-17 09:57:30.909339
zero_shot_prompt,0.1,1,-1.0,0,1,0,2024-04-17 09:57:33.840161
zero_shot_prompt,0.1,2,-1.0,2,0,0,2024-04-17 09:57:40.446253
zero_shot_prompt,0.1,4,-1.0,4,0,0,2024-04-17 09:57:55.329109
zero_shot_prompt,0.1,1,-1.0,1,0,0,2024-04-17 09:57:57.335303
zero_shot_prompt,0.1,3,-1.0,3,0,0,2024-04-17 09:58:06.671463
zero_shot_prompt,0.1,1,1.0,0,1,0,2024-04-17 09:58:09.625513
zero_shot_prompt,0.1,1,-1.0,1,0,0,2024-04-17 09:58:11.736405
zero_shot_prompt,0.1,1,-1.0,1,0,0,2024-04-17 09:58:14.313336
